Date,AAL_Close,AAL_Vol,AAPL_Close,AAPL_Vol,ALK_Close,ALK_Vol,AMZN_Close,AMZN_Vol,BHC_Close,BHC_Vol,CS_Close,CS_Vol,DB_Close,DB_Vol,GOOG_Close,GOOG_Vol,GS_Close,GS_Vol,HA_Close,HA_Vol,JNJ_Close,JNJ_Vol,MRK_Close,MRK_Vol,SP500_Close,SP500_Vol
27-10-2017,46.253845,8591500,39.153267,177816800,63.212994,4118400,1100.949951,16565000,11.41,9650700,14.981743,3234800,15.87342,5699400,1019.27002,5167700,228.640488,2111500,32.663033,1457100,130.805527,5140100,53.28437,29561300,2581.070068,3887110000
30-10-2017,45.952354,5402500,40.034557,178803200,63.099056,1809300,1110.849976,6613100,11.41,8661300,15.105088,2768100,15.815063,4409700,1017.109985,2085100,227.864853,1764400,32.22945,1185700,129.1633,6034300,50.054741,38989400,2572.830078,3658870000
31-10-2017,45.534168,4596600,40.591652,144187200,62.690807,2471200,1105.280029,3477000,11.69,14203000,14.915326,3234500,15.824789,2182000,1016.640015,1330700,229.368866,2658700,32.277626,1372500,128.618988,4832100,50.402412,18429200,2575.26001,3827230000
1/11/2017,46.526157,4354500,40.075378,134551200,62.453445,2366500,1103.680054,3755500,11.93,9045200,14.810956,3211500,16.106853,5113100,1025.5,1373400,231.052612,2969600,32.325794,1612600,129.144867,5006800,50.631142,16418400,2579.360107,3813180000
2/11/2017,46.059338,2410700,40.36834,165573600,60.431156,3153300,1094.219971,3684900,11.06,19200900,15.541542,6322900,16.593172,7033700,1025.579956,1049000,233.530945,2509100,31.795864,1089000,129.098724,3494100,50.658585,12318500,2579.850098,4048270000
3/11/2017,46.146866,4037100,41.422508,237594400,60.431156,1669100,1111.599976,3751500,11.49,16220800,15.342291,2872600,16.359739,2506800,1032.47998,1076400,231.185028,1954600,32.277626,1095800,129.237106,2737000,51.289875,9810800,2587.840088,3567710000
6/11/2017,46.205212,4249500,41.842739,140105200,60.706493,1385600,1120.660034,3381100,12.04,20317400,15.332803,2687200,16.369467,3684400,1025.900024,1125200,230.32428,1744800,32.277626,1476500,128.941879,4220700,51.125183,8718500,2591.129883,3539080000
7/11/2017,45.184052,3756400,41.977203,97446000,59.054485,1749800,1123.170044,2689000,14.1,68952400,15.247411,2630800,16.22357,3516200,1033.329956,1112300,226.843246,2483900,31.988571,1094600,128.951126,4201900,50.859867,14321100,2590.639893,3809650000
8/11/2017,45.096523,3198800,42.320599,97638000,58.940552,2022900,1132.880005,2581500,14.88,43450000,15.323315,1699800,16.573719,6894200,1039.849976,1088700,228.205383,2349800,31.844038,1008300,130.381134,4440700,51.765625,15132900,2594.379883,3899360000
9/11/2017,44.513004,3561500,42.23415,117930400,59.225388,1577900,1129.130005,3732700,15.35,28140400,15.209458,2185200,16.933594,6494900,1031.26001,1245200,227.770248,2122400,31.651337,1715300,129.486221,3517100,51.427105,14140100,2584.620117,3831610000
